trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
interval01	459	1819	459	935	459	circle
interval02	510	1768	510	1292	510	triangle
interval03	561	1394	561	1972	561	circle
interval04	612	1581	612	2091	612	triangle
interval05	663	1853	663	2125	663	circle
interval01	459	1819	459	935	459	triangle
interval02	510	1768	510	1292	510	circle
interval03	561	1394	561	1972	561	triangle
interval04	612	1581	612	2091	612	circle
interval05	663	1853	663	2125	663	triangle
interval01	459	1819	459	935	459	circle
interval02	510	1768	510	1292	510	triangle
interval03	561	1394	561	1972	561	circle
interval04	612	1581	612	2091	612	triangle
interval05	663	1853	663	2125	663	circle
interval01	459	1819	459	935	459	triangle
interval02	510	1768	510	1292	510	circle
interval03	561	1394	561	1972	561	triangle
interval04	612	1581	612	2091	612	circle
interval05	663	1853	663	2125	663	triangle
