trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
random01	969	1105	1088	510	459	circle
random02	864	608	864	1744	510	triangle
random03	1584	680	576	1648	561	circle
random04	1054	1071	2125	646	612	triangle
random05	1071	1088	2244	901	663	circle
random06	1156	595	1241	680	459	triangle
random07	960	2000	528	592	510	circle
random08	680	2192	656	960	561	triangle
random09	2176	896	832	992	612	circle
random10	1408	1216	680	2000	663	triangle
random11	592	782	496	1802	459	circle
random12	748	1152	1568	612	510	triangle
random13	595	1224	1105	1564	561	circle
random14	2080	704	768	1344	612	triangle
random15	1120	884	1600	1700	663	circle
random16	748	952	680	1292	459	triangle
random17	1536	969	912	663	510	circle
random18	1071	578	1700	1139	561	triangle
random19	1040	1472	800	1584	612	circle
random20	1376	1224	704	2000	663	triangle
