trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
beat01	459	1377	459	1377	367
beat02	510	1530	510	1530	408
beat03	561	1683	561	1683	449
beat04	612	1836	612	1836	490
beat05	663	1989	663	1989	530
beat01	459	1377	459	1377	404
beat02	510	1530	510	1530	449
beat03	561	1683	561	1683	494
beat04	612	1836	612	1836	539
beat05	663	1989	663	1989	583
beat01	459	1377	459	1377	450
beat02	510	1530	510	1530	500
beat03	561	1683	561	1683	550
beat04	612	1836	612	1836	600
beat05	663	1989	663	1989	650
beat01	459	1377	459	1377	468
beat02	510	1530	510	1530	520
beat03	561	1683	561	1683	572
beat04	612	1836	612	1836	624
beat05	663	1989	663	1989	676
beat01	459	1377	459	1377	514
beat02	510	1530	510	1530	571
beat03	561	1683	561	1683	628
beat04	612	1836	612	1836	685
beat05	663	1989	663	1989	743
beat01	459	1377	459	1377	551
beat02	510	1530	510	1530	612
beat03	561	1683	561	1683	673
beat04	612	1836	612	1836	734
beat05	663	1989	663	1989	796
