trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
interval01	459	1445	459	1309	367
interval02	510	1853	510	1207	408
interval03	561	1717	561	1649	449
interval04	612	1513	612	2159	490
interval05	663	1887	663	2091	530
interval01	459	1445	459	1309	404
interval02	510	1853	510	1207	449
interval03	561	1717	561	1649	494
interval04	612	1513	612	2159	539
interval05	663	1887	663	2091	583
interval01	459	1445	459	1309	450
interval02	510	1853	510	1207	500
interval03	561	1717	561	1649	550
interval04	612	1513	612	2159	600
interval05	663	1887	663	2091	650
interval01	459	1445	459	1309	468
interval02	510	1853	510	1207	520
interval03	561	1717	561	1649	572
interval04	612	1513	612	2159	624
interval05	663	1887	663	2091	676
interval01	459	1445	459	1309	514
interval02	510	1853	510	1207	571
interval03	561	1717	561	1649	628
interval04	612	1513	612	2159	685
interval05	663	1887	663	2091	743
interval01	459	1445	459	1309	551
interval02	510	1853	510	1207	612
interval03	561	1717	561	1649	673
interval04	612	1513	612	2159	734
interval05	663	1887	663	2091	796
