trial_id	isi_1	isi_2	isi_3	isi_4
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
interval01	459	1513	459	1241
interval02	510	1819	510	1241
interval03	561	1853	561	1513
interval04	612	1377	612	2295
interval05	663	1853	663	2125
