onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	target_shape
3008	1	beat05	527	1581	527	1581	circle
11128	2	beat07	561	1683	561	1683	circle
19520	-	baseline	-	-	-	-	-
25520	3	beat01	459	1377	459	1377	circle
33096	4	beat13	663	1989	663	1989	circle
42304	-	baseline	-	-	-	-	-
48304	5	beat12	646	1938	646	1938	triangle
57376	6	beat18	748	2244	748	2244	triangle
67264	-	baseline	-	-	-	-	-
73264	7	beat11	629	1887	629	1887	circle
82200	8	interval14	680	1904	680	2227	triangle
91595	9	beat17	731	2193	731	2193	circle
101347	10	interval18	748	1968	748	1326	triangle
110041	11	interval12	646	1616	646	2227	triangle
119080	12	interval17	731	2176	731	2210	circle
128832	13	interval02	476	1530	476	2176	triangle
137394	14	interval16	714	2096	714	2227	triangle
147049	-	baseline	-	-	-	-	-
153049	15	interval10	612	1424	612	2227	triangle
161828	16	beat16	714	2142	714	2142	triangle
171444	17	interval03	493	1768	493	1428	circle
179530	-	baseline	-	-	-	-	-
185530	18	interval11	629	1504	629	1326	circle
193522	19	beat02	476	1428	476	1428	triangle
201234	-	baseline	-	-	-	-	-
207234	20	interval15	697	1955	697	1190	circle
215677	21	beat04	510	1530	510	1530	triangle
223661	22	interval05	527	1520	527	2210	circle
232349	-	baseline	-	-	-	-	-
238349	23	beat10	612	1836	612	1836	triangle
247149	24	interval06	544	1840	544	1700	triangle
255681	25	beat09	595	1785	595	1785	circle
264345	-	baseline	-	-	-	-	-
270345	26	interval01	459	1921	459	833	circle
277921	27	beat03	493	1479	493	1479	circle
285769	28	interval04	510	1887	510	1424	triangle
294004	29	interval09	595	2023	595	2227	circle
303348	30	interval08	578	1768	578	2227	triangle
312403	31	interval07	561	1938	561	1173	circle
320540	32	beat15	697	2091	697	2091	circle
330020	33	beat06	544	1632	544	1632	triangle
338276	34	interval13	663	1751	663	2227	circle
347484	35	beat08	578	1734	578	1734	triangle
356012	36	beat14	680	2040	680	2040	triangle
