onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	beat05	663	1989	663	1989	743
12639	2	interval04	612	1513	612	2159	600
21719	3	interval03	561	1717	561	1649	494
30285	4	beat01	459	1377	459	1377	551
38092	5	beat04	612	1836	612	1836	600
47172	6	beat05	663	1989	663	1989	676
56736	7	beat04	612	1836	612	1836	734
65950	8	beat03	561	1683	561	1683	550
74572	9	interval05	663	1887	663	2091	796
84256	-	baseline	-	-	-	-	-
90256	10	interval01	459	1445	459	1309	551
98063	11	beat01	459	1377	459	1377	367
105686	-	baseline	-	-	-	-	-
111686	12	interval04	612	1513	612	2159	624
120790	13	interval03	561	1717	561	1649	550
129412	14	interval05	663	1887	663	2091	676
138976	-	baseline	-	-	-	-	-
144976	15	beat02	510	1530	510	1530	500
153140	16	interval05	663	1887	663	2091	743
162771	17	beat05	663	1989	663	1989	796
172455	18	interval02	510	1853	510	1207	500
180619	19	interval03	561	1717	561	1649	449
189140	20	interval02	510	1853	510	1207	571
197375	21	interval02	510	1853	510	1207	520
205559	22	beat02	510	1530	510	1530	571
213794	23	beat02	510	1530	510	1530	520
221978	-	baseline	-	-	-	-	-
227978	24	interval01	459	1445	459	1309	404
235638	25	beat03	561	1683	561	1683	449
244159	26	interval04	612	1513	612	2159	734
253373	27	beat03	561	1683	561	1683	494
261939	28	beat01	459	1377	459	1377	404
269599	-	baseline	-	-	-	-	-
275599	29	beat04	612	1836	612	1836	624
284703	30	interval01	459	1445	459	1309	367
