onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval04	592	1428	592	850
10374	2	beat03	544	1632	544	1632
18630	3	interval01	459	1904	459	2380
27736	4	beat04	592	1776	592	1776
36376	5	interval05	629	1394	629	850
43782	6	beat03	544	1632	544	1632
52038	7	interval03	544	1836	544	1428
60294	8	beat05	629	1887	629	1887
69230	9	interval06	672	1744	672	2380
78602	10	beat01	459	1377	459	1377
86178	-	baseline	-	-	-	-
92178	11	beat04	592	1776	592	1776
100818	12	beat01	459	1377	459	1377
108394	13	interval01	459	1904	459	2380
117500	14	interval02	496	1870	496	2288
126554	15	beat05	629	1887	629	1887
135490	16	beat02	496	1488	496	1488
143362	17	beat01	459	1377	459	1377
150938	-	baseline	-	-	-	-
156938	18	interval02	496	1870	496	2288
165992	19	beat06	672	2016	672	2016
175272	-	baseline	-	-	-	-
181272	20	interval05	629	1394	629	850
188678	21	interval04	592	1428	592	850
196044	22	beat01	459	1377	459	1377
203620	23	interval02	496	1870	496	2288
212674	-	baseline	-	-	-	-
218674	24	beat06	672	2016	672	2016
227954	25	beat02	496	1488	496	1488
235826	26	interval03	544	1836	544	1428
244082	27	beat06	672	2016	672	2016
253362	28	beat02	496	1488	496	1488
261234	29	interval05	629	1394	629	850
268640	-	baseline	-	-	-	-
274640	30	interval04	592	1428	592	850
282006	31	beat05	629	1887	629	1887
290942	32	interval05	629	1394	629	850
298348	-	baseline	-	-	-	-
304348	33	beat01	459	1377	459	1377
311924	34	interval04	592	1428	592	850
319290	35	interval05	629	1394	629	850
326696	36	interval03	544	1836	544	1428
