onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval02	510	1853	510	1207	408
11080	2	interval03	561	1717	561	1649	572
19724	-	baseline	-	-	-	-	-
25724	3	beat05	663	1989	663	1989	650
35262	4	interval05	663	1887	663	2091	530
44680	5	interval03	561	1717	561	1649	494
53246	6	beat05	663	1989	663	1989	676
62810	7	beat04	612	1836	612	1836	685
71975	-	baseline	-	-	-	-	-
77975	8	beat03	561	1683	561	1683	572
86619	9	interval04	612	1513	612	2159	490
95589	10	interval04	612	1513	612	2159	624
104693	11	beat02	510	1530	510	1530	408
112765	12	beat01	459	1377	459	1377	404
120425	-	baseline	-	-	-	-	-
126425	13	beat02	510	1530	510	1530	571
134660	14	beat01	459	1377	459	1377	551
142467	15	beat03	561	1683	561	1683	673
151212	16	beat05	663	1989	663	1989	530
160630	17	beat04	612	1836	612	1836	490
169600	18	beat04	612	1836	612	1836	624
178704	19	interval05	663	1887	663	2091	676
188268	20	interval01	459	1445	459	1309	551
196075	21	beat01	459	1377	459	1377	450
203781	22	beat02	510	1530	510	1530	500
211945	23	interval02	510	1853	510	1207	571
220180	24	interval02	510	1853	510	1207	500
228344	-	baseline	-	-	-	-	-
234344	25	beat03	561	1683	561	1683	494
242910	26	interval04	612	1513	612	2159	685
252075	27	interval05	663	1887	663	2091	650
261613	28	interval03	561	1717	561	1649	673
270358	-	baseline	-	-	-	-	-
276358	29	interval01	459	1445	459	1309	450
284064	30	interval01	459	1445	459	1309	404
