onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	interval02	496	1792	496	1836	496	triangle
12028	-	baseline	-	-	-	-	-	-
18028	2	beat02	496	1488	496	1488	496	triangle
26396	3	beat06	672	2016	672	2016	672	triangle
36348	4	interval04	592	1904	592	1648	592	triangle
45580	-	baseline	-	-	-	-	-	-
51580	5	interval02	496	1792	496	1836	496	triangle
60600	6	interval04	592	1904	592	1648	592	triangle
69832	-	baseline	-	-	-	-	-	-
75832	7	interval03	544	1428	544	1836	544	circle
84632	8	beat06	672	2016	672	2016	672	triangle
94584	9	interval01	459	1952	459	1836	459	circle
103653	10	beat05	629	1887	629	1887	629	circle
113218	11	beat03	544	1632	544	1632	544	circle
122018	12	interval05	629	1536	629	1184	629	circle
130529	13	beat05	629	1887	629	1887	629	circle
140094	14	interval03	544	1428	544	1836	544	circle
148894	15	interval01	459	1952	459	1836	459	circle
157963	16	beat06	672	2016	672	2016	672	triangle
167915	17	beat05	629	1887	629	1887	629	circle
177480	18	beat03	544	1632	544	1632	544	circle
186280	19	beat04	592	1776	592	1776	592	triangle
195512	-	baseline	-	-	-	-	-	-
201512	20	beat03	544	1632	544	1632	544	circle
210312	21	beat04	592	1776	592	1776	592	triangle
219544	-	baseline	-	-	-	-	-	-
225544	22	interval02	496	1792	496	1836	496	triangle
234564	23	interval01	459	1952	459	1836	459	circle
243633	24	beat04	592	1776	592	1776	592	triangle
252865	25	interval04	592	1904	592	1648	592	triangle
262097	26	beat05	629	1887	629	1887	629	circle
271662	27	beat01	459	1377	459	1377	459	circle
279697	28	interval03	544	1428	544	1836	544	circle
288497	29	beat06	672	2016	672	2016	672	triangle
298449	30	beat05	629	1887	629	1887	629	circle
308014	31	interval04	592	1904	592	1648	592	triangle
317246	32	interval05	629	1536	629	1184	629	circle
325757	-	baseline	-	-	-	-	-	-
331757	33	beat06	672	2016	672	2016	672	triangle
341709	34	interval06	672	1564	672	1836	672	triangle
351029	35	interval02	496	1792	496	1836	496	triangle
360049	36	interval03	544	1428	544	1836	544	circle
