onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
3008	1	interval05	629	1581	629	1054	704
11589	2	beat02	496	1488	496	1488	397
19938	3	beat01	459	1377	459	1377	514
28108	4	interval03	544	1424	544	1840	533
36977	5	beat05	629	1887	629	1887	755
46748	6	interval04	592	1870	592	2193	604
56583	7	interval02	496	1680	496	1054	397
64690	8	beat04	592	1776	592	1776	604
74014	9	beat02	496	1488	496	1488	506
82472	10	beat06	672	2016	672	2016	538
92370	11	interval01	459	1700	459	2193	367
101532	-	baseline	-	-	-	-	-
107532	12	beat05	629	1887	629	1887	704
117252	13	interval02	496	1680	496	1054	506
125468	14	beat02	496	1488	496	1488	436
133856	15	beat01	459	1377	459	1377	551
142063	-	baseline	-	-	-	-	-
148063	16	interval02	496	1680	496	1054	556
156329	17	beat05	629	1887	629	1887	554
165899	-	baseline	-	-	-	-	-
171899	18	beat05	629	1887	629	1887	616
181531	19	beat02	496	1488	496	1488	595
190078	20	beat03	544	1632	544	1632	435
198849	21	interval03	544	1424	544	1840	555
207740	-	baseline	-	-	-	-	-
213740	22	interval03	544	1424	544	1840	479
222555	23	beat01	459	1377	459	1377	450
230661	24	interval01	459	1700	459	2193	450
239906	25	interval06	672	1921	672	1840	806
249801	-	baseline	-	-	-	-	-
255801	26	beat06	672	2016	672	2016	591
265752	27	interval03	544	1424	544	1840	609
274697	28	interval04	592	1870	592	2193	474
284402	29	interval04	592	1870	592	2193	521
294154	-	baseline	-	-	-	-	-
300154	30	interval02	496	1680	496	1054	595
308459	31	interval04	592	1870	592	2193	580
318270	32	interval06	672	1921	672	1840	591
327950	33	interval03	544	1424	544	1840	653
336939	34	beat04	592	1776	592	1776	580
346239	35	beat06	672	2016	672	2016	685
356284	36	beat06	672	2016	672	2016	753
