onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
3008	1	beat02	510	1530	510	1530	510	circle
11182	2	beat02	510	1530	510	1530	510	triangle
19356	3	interval05	663	1513	663	2465	663	triangle
28907	-	baseline	-	-	-	-	-	-
34907	4	beat03	561	1683	561	1683	561	circle
43540	5	interval03	561	1938	561	1428	561	circle
52173	-	baseline	-	-	-	-	-	-
58173	6	beat03	561	1683	561	1683	561	circle
66806	7	beat01	459	1377	459	1377	459	triangle
74521	8	interval05	663	1513	663	2465	663	triangle
84072	9	beat04	612	1836	612	1836	612	triangle
93164	10	beat03	561	1683	561	1683	561	triangle
101797	11	beat02	510	1530	510	1530	510	triangle
109971	12	interval02	510	1377	510	1683	510	triangle
118145	13	beat04	612	1836	612	1836	612	circle
127237	14	beat05	663	1989	663	1989	663	circle
136788	15	beat05	663	1989	663	1989	663	triangle
146339	16	interval05	663	1513	663	2465	663	circle
155890	-	baseline	-	-	-	-	-	-
161890	17	interval04	612	1683	612	1989	612	circle
170982	18	beat01	459	1377	459	1377	459	circle
178697	19	interval01	459	1904	459	850	459	triangle
186412	-	baseline	-	-	-	-	-	-
192412	20	interval02	510	1377	510	1683	510	circle
200586	21	interval03	561	1938	561	1428	561	triangle
209219	22	interval01	459	1904	459	850	459	triangle
216934	23	interval03	561	1938	561	1428	561	circle
225567	24	interval04	612	1683	612	1989	612	triangle
234659	25	beat01	459	1377	459	1377	459	triangle
242374	26	interval02	510	1377	510	1683	510	triangle
250548	27	beat05	663	1989	663	1989	663	triangle
260099	-	baseline	-	-	-	-	-	-
266099	28	interval04	612	1683	612	1989	612	circle
275191	29	beat04	612	1836	612	1836	612	circle
284283	30	interval01	459	1904	459	850	459	circle
