onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
3008	1	interval01	459	1513	459	1241
10264	2	interval02	510	1819	510	1241
17928	3	beat05	663	1989	663	1989
26816	4	beat04	612	1836	612	1836
35296	-	baseline	-	-	-	-
41296	5	interval05	663	1853	663	2125
50184	6	interval01	459	1513	459	1241
57440	7	interval04	612	1377	612	2295
65920	-	baseline	-	-	-	-
71920	8	interval02	510	1819	510	1241
79584	9	beat05	663	1989	663	1989
88472	10	interval04	612	1377	612	2295
96952	11	beat03	561	1683	561	1683
105024	12	interval05	663	1853	663	2125
113912	13	interval02	510	1819	510	1241
121576	14	interval03	561	1853	561	1513
129648	15	beat04	612	1836	612	1836
138128	16	beat05	663	1989	663	1989
147016	17	interval03	561	1853	561	1513
155088	18	beat02	510	1530	510	1530
162752	-	baseline	-	-	-	-
168752	19	beat03	561	1683	561	1683
176824	20	beat02	510	1530	510	1530
184488	-	baseline	-	-	-	-
190488	21	beat01	459	1377	459	1377
197744	22	interval04	612	1377	612	2295
206224	23	beat03	561	1683	561	1683
214296	24	beat01	459	1377	459	1377
221552	25	interval03	561	1853	561	1513
229624	26	beat02	510	1530	510	1530
237288	-	baseline	-	-	-	-
243288	27	beat01	459	1377	459	1377
250544	28	beat04	612	1836	612	1836
259024	29	interval01	459	1513	459	1241
266280	30	interval05	663	1853	663	2125
