onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
12000	1	beat04	612	1836	612	1836	600
21576	2	interval05	663	1887	663	2091	743
31703	-	baseline	-	-	-	-	-
37703	3	beat01	459	1377	459	1377	404
45859	4	interval01	459	1445	459	1309	468
54079	5	interval03	561	1717	561	1649	550
63197	6	beat02	510	1530	510	1530	520
71877	-	baseline	-	-	-	-	-
77877	7	interval01	459	1445	459	1309	367
85996	8	beat03	561	1683	561	1683	449
95013	9	beat05	663	1989	663	1989	796
105193	10	beat05	663	1989	663	1989	583
115160	-	baseline	-	-	-	-	-
121160	11	interval05	663	1887	663	2091	583
131127	12	interval04	612	1513	612	2159	600
140703	13	interval02	510	1853	510	1207	612
149475	-	baseline	-	-	-	-	-
155475	14	interval05	663	1887	663	2091	796
165655	15	beat03	561	1683	561	1683	550
174773	16	beat04	612	1836	612	1836	624
184373	17	beat01	459	1377	459	1377	468
192593	18	interval02	510	1853	510	1207	571
201324	19	beat04	612	1836	612	1836	539
210839	20	interval01	459	1445	459	1309	404
218995	21	beat01	459	1377	459	1377	367
227114	22	beat02	510	1530	510	1530	571
235845	23	interval02	510	1853	510	1207	520
244525	24	interval03	561	1717	561	1649	673
253766	25	beat02	510	1530	510	1530	612
262538	-	baseline	-	-	-	-	-
268538	26	beat03	561	1683	561	1683	673
277779	27	interval03	561	1717	561	1649	449
286796	28	beat05	663	1989	663	1989	743
296923	29	interval04	612	1513	612	2159	624
306523	30	interval04	612	1513	612	2159	539
