onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
6000	1	beat05	663	1989	663	1989
15384	2	interval03	561	1853	561	1513
23952	3	beat03	561	1683	561	1683
32520	4	beat01	459	1377	459	1377
40272	-	baseline	-	-	-	-
46272	5	interval01	459	1513	459	1241
54024	6	beat04	612	1836	612	1836
63000	7	beat02	510	1530	510	1530
71160	8	interval01	459	1513	459	1241
78912	9	interval03	561	1853	561	1513
87480	10	beat03	561	1683	561	1683
96048	11	interval05	663	1853	663	2125
105432	-	baseline	-	-	-	-
111432	12	beat04	612	1836	612	1836
120408	13	interval05	663	1853	663	2125
129792	-	baseline	-	-	-	-
135792	14	beat05	663	1989	663	1989
145176	15	interval05	663	1853	663	2125
154560	16	interval02	510	1819	510	1241
162720	17	interval04	612	1377	612	2295
171696	18	beat02	510	1530	510	1530
179856	19	beat01	459	1377	459	1377
187608	20	beat05	663	1989	663	1989
196992	21	beat04	612	1836	612	1836
205968	22	interval04	612	1377	612	2295
214944	23	beat02	510	1530	510	1530
223104	24	interval03	561	1853	561	1513
231672	25	interval02	510	1819	510	1241
239832	-	baseline	-	-	-	-
245832	26	beat03	561	1683	561	1683
254400	27	interval04	612	1377	612	2295
263376	-	baseline	-	-	-	-
269376	28	interval01	459	1513	459	1241
277128	29	interval02	510	1819	510	1241
285288	30	beat01	459	1377	459	1377
