onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5
6000	1	interval03	561	1717	561	1649	572
15140	2	interval01	459	1445	459	1309	367
23259	3	beat03	561	1683	561	1683	673
32500	4	interval05	663	1887	663	2091	583
42467	5	interval05	663	1887	663	2091	650
52501	6	beat02	510	1530	510	1530	408
61069	-	baseline	-	-	-	-	-
67069	7	beat03	561	1683	561	1683	572
76209	8	beat03	561	1683	561	1683	550
85327	9	beat01	459	1377	459	1377	404
93483	10	interval03	561	1717	561	1649	673
102724	11	beat04	612	1836	612	1836	490
112190	12	interval02	510	1853	510	1207	520
120870	13	beat05	663	1989	663	1989	583
130837	-	baseline	-	-	-	-	-
136837	14	interval01	459	1445	459	1309	450
145039	15	beat02	510	1530	510	1530	612
153811	-	baseline	-	-	-	-	-
159811	16	interval05	663	1887	663	2091	743
169938	17	interval04	612	1513	612	2159	685
179599	18	beat05	663	1989	663	1989	743
189726	19	beat05	663	1989	663	1989	650
199760	20	beat01	459	1377	459	1377	367
207879	21	interval02	510	1853	510	1207	408
216447	22	beat04	612	1836	612	1836	685
226108	-	baseline	-	-	-	-	-
232108	23	interval02	510	1853	510	1207	612
240880	24	interval01	459	1445	459	1309	404
249036	25	interval04	612	1513	612	2159	624
258636	26	beat01	459	1377	459	1377	450
266838	27	beat02	510	1530	510	1530	520
275518	28	interval03	561	1717	561	1649	550
284636	-	baseline	-	-	-	-	-
290636	29	beat04	612	1836	612	1836	624
300236	30	interval04	612	1513	612	2159	490
