onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4
12000	1	interval05	663	1853	663	2125
21384	2	interval02	510	1819	510	1241
29544	3	interval01	459	1513	459	1241
37296	-	baseline	-	-	-	-
43296	4	beat04	612	1836	612	1836
52272	5	interval03	561	1853	561	1513
60840	6	interval02	510	1819	510	1241
69000	7	beat01	459	1377	459	1377
76752	-	baseline	-	-	-	-
82752	8	beat02	510	1530	510	1530
90912	9	beat04	612	1836	612	1836
99888	10	beat03	561	1683	561	1683
108456	11	interval04	612	1377	612	2295
117432	12	beat01	459	1377	459	1377
125184	13	interval05	663	1853	663	2125
134568	14	beat05	663	1989	663	1989
143952	15	interval03	561	1853	561	1513
152520	16	interval04	612	1377	612	2295
161496	17	beat03	561	1683	561	1683
170064	-	baseline	-	-	-	-
176064	18	interval02	510	1819	510	1241
184224	19	beat04	612	1836	612	1836
193200	-	baseline	-	-	-	-
199200	20	beat05	663	1989	663	1989
208584	21	beat02	510	1530	510	1530
216744	-	baseline	-	-	-	-
222744	22	interval01	459	1513	459	1241
230496	23	beat03	561	1683	561	1683
239064	24	beat05	663	1989	663	1989
248448	25	interval03	561	1853	561	1513
257016	26	interval01	459	1513	459	1241
264768	27	beat02	510	1530	510	1530
272928	28	interval05	663	1853	663	2125
282312	29	beat01	459	1377	459	1377
290064	30	interval04	612	1377	612	2295
