onsets	trial_number	trial_id	isi_1	isi_2	isi_3	isi_4	isi_5	target_shape
6000	1	interval02	510	1377	510	1683	510	triangle
14670	2	beat05	663	1989	663	1989	663	circle
24717	-	baseline	-	-	-	-	-	-
30717	3	interval03	561	1717	561	1649	561	triangle
39846	4	beat05	663	1989	663	1989	663	triangle
49893	5	interval05	663	1700	663	2278	663	circle
59940	6	interval04	612	1887	612	1785	612	triangle
69528	7	interval04	612	1887	612	1785	612	circle
79116	-	baseline	-	-	-	-	-	-
85116	8	beat01	459	1377	459	1377	459	triangle
93327	9	interval01	459	1734	459	1020	459	triangle
101538	10	interval02	510	1377	510	1683	510	circle
110208	11	interval03	561	1717	561	1649	561	triangle
119337	12	beat02	510	1530	510	1530	510	triangle
128007	13	interval01	459	1734	459	1020	459	triangle
136218	14	beat03	561	1683	561	1683	561	triangle
145347	15	beat05	663	1989	663	1989	663	circle
155394	16	interval01	459	1734	459	1020	459	circle
163605	17	interval04	612	1887	612	1785	612	triangle
173193	18	interval05	663	1700	663	2278	663	triangle
183240	19	interval05	663	1700	663	2278	663	circle
193287	20	beat02	510	1530	510	1530	510	circle
201957	21	beat03	561	1683	561	1683	561	circle
211086	-	baseline	-	-	-	-	-	-
217086	22	interval02	510	1377	510	1683	510	circle
225756	23	beat03	561	1683	561	1683	561	triangle
234885	24	beat04	612	1836	612	1836	612	triangle
244473	-	baseline	-	-	-	-	-	-
250473	25	beat04	612	1836	612	1836	612	circle
260061	26	beat04	612	1836	612	1836	612	triangle
269649	27	interval03	561	1717	561	1649	561	circle
278778	-	baseline	-	-	-	-	-	-
284778	28	beat02	510	1530	510	1530	510	circle
293448	29	beat01	459	1377	459	1377	459	triangle
301659	30	beat01	459	1377	459	1377	459	circle
